"filename", "language", "TypeScript", "SCSS", "TypeScript JSX", "XML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "HTML", "CSS", "Properties", "comment", "blank", "total"
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/ui/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/cookie/api/interface.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/cookie/api/useCookie.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/cookie/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/auth/index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/auth/not_authorized.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/auth/sign_in.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/booking/create.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 109
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/booking/id.tsx", "TypeScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 111
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/booking/index.tsx", "TypeScript JSX", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 102
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/hotel/create.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/hotel/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/index.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/room/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/pages/user/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/button/add-button/index.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/api/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/api/resize.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/model/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/model/interface.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/card/ui/index.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/shared/components/details/model/interface.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
